Model,Pre_respond,Pre_accept,Pre_reject,Recall_respond,Recall_accept,Recall_reject,f1_respond,f1_accept,f1_reject,Avg_Pre,Avg_Recall,Avg_f1_Score,Test_Accuracy,Train_Accuracy
LogisticRegression,0.819035533,0.717670505,0.688245125,0.751805545,0.999691548,0.671997389,0.78398186,0.83552462,0.68002422,0.759,0.755,0.753,0.754573111,0.776026234
NaiveBayes,0.544865028,0.306432749,0.456505295,0.561155549,0.888957434,0.131309835,0.552890317,0.455760259,0.203954039,0.482,0.447,0.414,0.447038837,0.48046304
KNN,0.598695761,0.373082287,0.446168434,0.370738526,0.660086366,0.563098346,0.457915687,0.476720873,0.497859857,0.514,0.478,0.475,0.477657935,0.702105804
DT,0.776354953,0.837428123,0.758596192,0.871010328,0.98827884,0.580831158,0.820963256,0.906621392,0.657917437,0.778,0.781,0.773,0.78064873,0.785468769
RandomForest,0.83337362,0.82303585,0.716850675,0.803215035,0.998457742,0.699303742,0.81801645,0.902299652,0.7079685,0.79,0.79,0.789,0.79048635,0.929161234
XGBoost,0.829146513,0.843487395,0.737593552,0.825347519,0.990746453,0.696910357,0.827242654,0.911205674,0.716675057,0.798,0.8,0.798,0.799889376,0.96863024
LinearSVC,0.819970845,0.484512943,0.680629433,0.611555487,0.998766194,0.66818973,0.700591611,0.652493703,0.674352218,0.726,0.682,0.685,0.681719411,0.773576706
LogisticRegression,0.759367862,0.947368421,0.613130522,0.828182859,0.074448529,0.661917411,0.792283911,0.138048573,0.636590606,0.728,0.709,0.685,0.708980285,0.783927936
NaiveBayes,0.633930355,0.223179759,0.705882353,0.641015283,0.928308824,0.105771553,0.637453133,0.359846798,0.183975638,0.622,0.491,0.465,0.490577219,0.442376832
KNN,0.684306441,0.272036474,0.523858654,0.657308288,0.411305147,0.490461241,0.670535714,0.327478961,0.506610127,0.596,0.582,0.587,0.581565327,0.733475564
DT,0.750065278,0.834324217,0.845836768,0.967010032,0.967371324,0.37164936,0.844832657,0.895935305,0.516399631,0.789,0.772,0.742,0.772233416,0.774327368
RandomForest,0.822957315,0.856915739,0.810198762,0.922911196,0.990808824,0.600458826,0.870072993,0.919011083,0.689736477,0.822,0.823,0.815,0.823238908,0.915945636
XGBoost,0.828232206,0.875666803,0.834287584,0.934626001,0.980698529,0.615793287,0.878218511,0.925211359,0.708579368,0.834,0.834,0.827,0.834261783,0.946327684
LinearSVC,0.795237782,0.905627706,0.621020887,0.813976974,0.480698529,0.671335426,0.80449827,0.628039628,0.645198724,0.748,0.739,0.737,0.738651179,0.777764608
LogisticRegression,0.82780602,0.46216707,0.649286846,0.67917908,0.999672668,0.572926863,0.746163357,0.632101832,0.608721492,0.733,0.688,0.694,0.68784323,0.784270344
NaiveBayes,0.699219621,0.307846658,0.626728111,0.622840119,0.954173486,0.20920151,0.658823529,0.465506228,0.313692598,0.632,0.546,0.538,0.545968156,0.46371143
KNN,0.723112596,0.4225,0.532250242,0.701952996,0.331914894,0.613900154,0.712375705,0.371769019,0.570166894,0.633,0.632,0.631,0.632412785,0.746737255
DT,0.769466521,0.897474444,0.86759327,0.980668653,0.977086743,0.33170186,0.862323903,0.935590033,0.479919069,0.813,0.797,0.763,0.796886729,0.773300146
RandomForest,0.857778056,0.920547945,0.762462859,0.906785833,0.9898527,0.645923647,0.88160139,0.953943218,0.699371641,0.838,0.843,0.839,0.843111691,0.904428904
XGBoost,0.863343653,0.936463224,0.794669796,0.923071831,0.979378069,0.662984198,0.892209247,0.95744,0.722878707,0.853,0.856,0.852,0.856386551,0.929292929
LinearSVC,0.737375544,0.8,0.541544592,0.818801721,0.001309329,0.646203328,0.775958341,0.002614379,0.589262943,0.69,0.671,0.63,0.67136818,0.645134526
LogisticRegression,0.848710039,0.520859222,0.634466199,0.754879342,1,0.541798107,0.799049536,0.684953893,0.584481879,0.757,0.73,0.732,0.729919798,0.790654261
NaiveBayes,0.737637644,0.32815239,0.624941397,0.672507327,0.957055215,0.210252366,0.7035684,0.488730311,0.314646524,0.662,0.59,0.581,0.589704081,0.492374857
KNN,0.775452991,0.587826087,0.471898605,0.707177153,0.576005453,0.581388013,0.739743004,0.581855741,0.520952583,0.678,0.66,0.667,0.66046383,0.757891826
DT,0.841268934,0.905959032,0.709621245,0.917752697,0.994887526,0.514195584,0.877848026,0.94834308,0.596305103,0.816,0.826,0.815,0.825609419,0.802931532
RandomForest,0.866894198,0.925023727,0.781821921,0.934464052,0.996591684,0.599684543,0.899411835,0.959474979,0.678746764,0.852,0.858,0.851,0.857808858,0.902226305
XGBoost,0.876636484,0.941636779,0.819979613,0.947808194,0.984321745,0.634384858,0.910834132,0.962506249,0.715340151,0.87,0.874,0.868,0.873533246,0.922820118
LinearSVC,0.753816264,0,0.524122807,0.846791794,0,0.603154574,0.797603665,0,0.56086829,0.609,0.688,0.646,0.687606179,0.657510569
LogisticRegression,0.826126477,0.448651986,0.698811881,0.794505151,1,0.495924677,0.810007321,0.619406166,0.580141378,0.758,0.728,0.729,0.72826044,0.798751531
NaiveBayes,0.72313618,0.279316522,0.63998538,0.691664065,0.929816514,0.246065205,0.707050075,0.429585673,0.35546082,0.662,0.587,0.584,0.586898977,0.516858283
KNN,0.771760416,0.493501805,0.514614589,0.713643459,0.62706422,0.559162451,0.741565014,0.552323232,0.53596444,0.675,0.663,0.667,0.662755324,0.765469559
DT,0.802496214,0.878432956,0.82284319,0.959537933,0.997706422,0.426222597,0.874018883,0.934278351,0.561562674,0.815,0.813,0.791,0.812887677,0.806558413
RandomForest,0.858593567,0.898634671,0.761693411,0.913331252,0.996330275,0.627037662,0.88511694,0.944964107,0.687837213,0.835,0.84,0.835,0.839990518,0.899632571
XGBoost,0.854797131,0.934056399,0.847152267,0.952419607,0.987614679,0.614530635,0.900971677,0.960089186,0.712330999,0.859,0.86,0.853,0.860455928,0.921417565
LinearSVC,0.757059108,0,0.603692124,0.878926007,0,0.569842608,0.813453537,0,0.586279187,0.649,0.716,0.68,0.716328869,0.668484058
LogisticRegression,0.82358014,0.493186708,0.673886391,0.817737003,1,0.478109597,0.820648171,0.660582773,0.55936228,0.756,0.74,0.736,0.740033977,0.801087801
NaiveBayes,0.729621922,0.31227652,0.703738318,0.771926606,0.888996607,0.218324152,0.750178317,0.462197581,0.333259571,0.689,0.631,0.613,0.630595393,0.533206906
KNN,0.75923791,0.593460827,0.507005132,0.765321101,0.466311197,0.529863729,0.762267369,0.522258415,0.518182463,0.677,0.677,0.676,0.676780846,0.77067283
DT,0.805998856,0.894179894,0.768786127,0.948318043,0.983034416,0.424180922,0.871385618,0.936504272,0.54671151,0.803,0.808,0.788,0.80830469,0.805762975
RandomForest,0.866389274,0.925011431,0.759793814,0.916941896,0.980610761,0.641055378,0.89094907,0.952,0.695392357,0.842,0.847,0.843,0.846944016,0.896151871
XGBoost,0.878480866,0.959845186,0.789817451,0.928073394,0.961706253,0.683676428,0.902596437,0.960774818,0.732924081,0.861,0.864,0.861,0.864209237,0.912890311
LinearSVC,0.756055454,0,0.588700565,0.883914373,0,0.528703972,0.815000705,0,0.557091576,0.649,0.715,0.678,0.715064596,0.677327381
LogisticRegression,0.845568764,0.858256556,0.624050633,0.887364749,0.999587288,0.495062762,0.865962726,0.923546235,0.552123192,0.794,0.805,0.797,0.805499585,0.802079277
