Model,Pre_respond,Pre_accept,Pre_reject,Recall_respond,Recall_accept,Recall_reject,f1_respond,f1_accept,f1_reject,Avg_Pre,Avg_Recall,Avg_f1_Score,Test_Accuracy,Train_Accuracy
NaiveBayes,0.756986703,0.385015609,0.660545353,0.794359369,0.916219563,0.198661088,0.775222873,0.542190744,0.305455481,0.699,0.665,0.642,0.665402394,0.551900077
KNN,0.784929454,0.607908528,0.443703086,0.743392657,0.526619893,0.534225941,0.763596611,0.564352057,0.48477485,0.687,0.673,0.679,0.673264589,0.774366876
DT,0.825768443,0.923495146,0.739116915,0.953053864,0.981427982,0.397824268,0.884857135,0.951580632,0.517245131,0.815,0.825,0.804,0.824700723,0.806103501
RandomForest,0.880906186,0.944035948,0.702566024,0.912729853,0.95377631,0.627782427,0.896535703,0.948881133,0.6630723,0.845,0.849,0.846,0.849393544,0.892356231
XGBoost,0.90089781,0.955186722,0.763575914,0.931472832,0.950061907,0.691882845,0.915930233,0.952617422,0.725963649,0.874,0.877,0.875,0.876693928,0.912522506
LinearSVC,0.761159479,0.333333333,0.561706824,0.894282505,0.000412712,0.511129707,0.822368421,0.000824402,0.535226078,0.673,0.718,0.676,0.718264786,0.684304396
LogisticRegression,0.824510965,0.917719358,0.626023266,0.89477548,0.99408284,0.464217252,0.858207423,0.954375999,0.53311319,0.785,0.799,0.788,0.798893718,0.804916835
NaiveBayes,0.748477085,0.464211911,0.568538398,0.804294629,0.913831361,0.219968051,0.775382619,0.615672107,0.317208017,0.674,0.671,0.645,0.671473726,0.567011378
KNN,0.744641537,0.512920527,0.443257867,0.739630491,0.389053254,0.497284345,0.742127555,0.442481598,0.468719416,0.645,0.642,0.642,0.64223627,0.777186796
DT,0.8027866,0.928396787,0.753846154,0.958766671,0.982988166,0.352236422,0.87387086,0.954912879,0.480130648,0.804,0.811,0.785,0.811339392,0.805627988
RandomForest,0.866521688,0.939093484,0.69755117,0.901933195,0.980769231,0.609744409,0.883872902,0.959479016,0.650698943,0.832,0.838,0.834,0.838087712,0.890739204
XGBoost,0.885417268,0.954987396,0.795515523,0.937905298,0.980769231,0.663099042,0.910905796,0.967706623,0.723296742,0.871,0.875,0.871,0.874516002,0.910048991
LinearSVC,0.731173072,0,0.548112509,0.890370733,0,0.473162939,0.80295716,0,0.507887517,0.608,0.692,0.644,0.692058475,0.689912489
LogisticRegression,0.8339026,0.904545455,0.611996459,0.896688585,0.996245307,0.458388594,0.864156652,0.948183443,0.524170616,0.788,0.802,0.791,0.801659423,0.805108034
NaiveBayes,0.774298056,0.46281885,0.508737864,0.807001955,0.893199833,0.26061008,0.79031182,0.60971095,0.344661258,0.682,0.685,0.667,0.684946661,0.579724142
KNN,0.757315072,0.530712531,0.450357559,0.792666311,0.360450563,0.448938992,0.774587554,0.42931677,0.449647156,0.663,0.67,0.664,0.669814303,0.777105155
DT,0.816644993,0.924010967,0.786102063,0.967241277,0.98414685,0.360079576,0.885586441,0.953131313,0.493916998,0.82,0.824,0.799,0.824140656,0.806016734
RandomForest,0.88216506,0.934226073,0.725276823,0.91623719,0.989570296,0.629807692,0.898878363,0.961102107,0.674179237,0.85,0.855,0.851,0.854919004,0.890692631
XGBoost,0.8952667,0.955248169,0.828852863,0.953498016,0.979557781,0.669595491,0.92346529,0.967250257,0.740761119,0.885,0.888,0.884,0.888305018,0.908629575
LinearSVC,0.757755245,0,0.519302153,0.894259819,0,0.463859416,0.820367905,0,0.490017513,0.629,0.707,0.664,0.706993283,0.69176639
LogisticRegression,0.83150246,0.94653706,0.603303965,0.891485707,0.985452245,0.468525488,0.86044997,0.965602727,0.527440786,0.793,0.806,0.797,0.805531411,0.806304028
NaiveBayes,0.764975888,0.501675978,0.513008428,0.807630966,0.85199241,0.239479986,0.785724943,0.631504923,0.326530612,0.674,0.682,0.66,0.681943896,0.591356259
KNN,0.721484966,0.410721649,0.483087943,0.790393817,0.314990512,0.415326719,0.754369017,0.356541972,0.44665195,0.628,0.644,0.634,0.644369814,0.778304123
DT,0.826414498,0.953329185,0.771676301,0.962274568,0.969006958,0.411050291,0.8891849,0.961104141,0.536383929,0.83,0.836,0.817,0.835796128,0.808457259
RandomForest,0.881269432,0.958384333,0.738338338,0.921543369,0.990512334,0.630858707,0.90095655,0.974183515,0.680380039,0.858,0.863,0.859,0.86301857,0.890722537
XGBoost,0.889210019,0.969355847,0.849753695,0.962519936,0.980392157,0.64916182,0.924413809,0.974842767,0.736035687,0.89,0.892,0.887,0.892374556,0.907727136
LinearSVC,0.71900293,0,0.525735294,0.888234572,0,0.464762231,0.794709256,0,0.493372072,0.585,0.679,0.626,0.679454761,0.694656036
